id,palavra_chave
212,Statistical Modeling
213,Algebra
213,Hadoop
214,Analytics
214,Computer Vision
214,Data Science
214,Python
214,Reinforcement
214,Science
214,Scrum
215,Analytics
215,Computer Vision
215,Data Science
215,Python
215,Reinforcement
215,Science
215,Scrum
216,Analytics
216,Big Data
216,Business
216,Business Requirements
216,Econometrics
216,Machine Learning
216,Modeling
216,Programming
217,Analytics
217,Big Data
217,Business
217,Business Requirements
217,Econometrics
217,Machine Learning
217,Modeling
217,Programming
218,Kanban
219,Linux
219,MongoDB
219,Workshops
221,Analytics
221,Content Management
221,Google Analytics
221,Laravel
221,Management
222,Badges
222,Engineering
222,JavaScript
222,Mockups
222,Saber
222,Software
222,Software Engineering
222,Tempo
223,Badges
223,Engineering
223,JavaScript
223,Mockups
223,Saber
223,Software
223,Software Engineering
223,Tempo
224,Tomcat
225,Analytics
225,Continuous Delivery
225,Email
225,Features
225,Integration
225,Ruby on Rails
225,Saber
225,Storage
226,Apache
226,Front-end
226,Node.js
226,Tempo
227,Features
227,LiDAR
227,Responsive Web Design
227,Software
227,Testing
227,Web Design
228,Front-end
228,HTML5
228,LiDAR
228,Node.js
229,Cloud Computing
229,Node.js
229,RSpec
230,Front-end
230,HTML5
230,Node.js
231,NoSQL
232,Apache
232,JavaScript
232,Jenkins
232,MySQL
232,Tempo
233,Design Patterns
233,Front-end
233,HTML5
233,JavaScript
234,Design Patterns
234,Front-end
234,HTML5
234,JavaScript
235,Front-end
235,JavaScript
235,Planning
235,Software
236,Saber
237,Business
237,Customer Experience
239,Kanban
239,MICROS
240,Architecture
240,Automation
240,Back Office
240,Balance
240,Builders
240,Business
240,Cloud-based
240,Communication
240,Consulting
240,Energy
240,Infrastructure
240,Integration
240,Knowledge Sharing
240,Leadership
240,Load Balancing
240,Military
240,Parts
240,Portuguese
240,Professional Services
240,Programming
240,Security
240,Software
240,Software Development
240,Architecture
241,Analysis
241,Business
241,Communication
241,Marketing
241,Metrics
241,Optimization
241,Software
241,Strategy
241,Tactics
241,Virtual Teams
242,Administration
242,Analysis
242,Analytics
242,Benchmarking
242,Bespoke
242,Business
242,Business Intelligence
242,Cloud-based
242,Communication
242,Consulting
242,Customer Experience
242,Data Mining
242,Data Science
242,Demos
242,English
242,Human Rights
242,Incentives
242,Management
242,Management Consulting
242,Market Research
242,Mining
242,Parties
242,Partnerships
242,Pricing
242,Problem Solving
242,Product Development
242,Research
242,Science
242,Yield
243,Branding
243,Marketing
243,Saber
244,Software
245,Python
249,Data Science
249,Pipelines
249,Science
250,Badges
250,Debate
250,Scrum
251,Badges
251,Debate
251,Scrum
252,Apache
252,Pipelines
253,Clojure
253,House
253,Lifestyle
253,Pipelines
253,Shoes
253,Tempo
254,Tempo
255,Big Data
255,Pipelines
256,Analytics
257,Scrum
258,Software
259,Analytics
260,NoSQL
260,Pipelines
260,Python
260,Scala
261,Credit
262,E-commerce
262,Engineering
262,Judicial
262,Marketing
262,Onboarding
262,Product Marketing
262,Saber
262,Sales
262,Talent Acquisition
262,Tempo
263,Analytics
263,Asset Management
263,Financial Services
263,History
263,Insurance
263,Latin
263,LiDAR
263,Life Insurance
263,Management
263,Real Estate
263,Saber
263,Storytelling
263,Symbol
264,Business
264,LiDAR
265,Management
265,Middle Office
265,Offshore
265,Rebates
265,Wealth
265,Wealth Management
266,Banking
266,Design Thinking
267,Opera
267,Savings
267,Sourcing
267,Strategic Sourcing
268,Haver
268,Onboarding
268,Strategy
268,Tableau
269,Lifestyle
269,Marketing
269,Python
270,Capital
270,E-commerce
270,Lifestyle
270,Opera
270,Python
270,Tempo
271,Analytics
271,Google Analytics
272,Business
272,Tableau
272,Tempo
273,Python
275,Python
277,Education
282,Analytics
282,Marketing
285,ANSYS
287,Linux
287,Python
288,Linux
288,Python
289,Linux
289,Python
290,Big Data
292,Briefing
292,Marketing
292,Trade Marketing
293,Omega
294,Supply Chain
296,Analytics
296,Balance
296,Communication
296,Presentations
296,Schedules
296,Templates
297,Design Thinking
297,Scrum
298,Marketing
298,Servers
299,Analytics
299,Data Science
299,Saber
299,Science
300,Analytics
300,LiDAR
300,Marketing
301,Private Label
302,Marketing
303,Balance
303,Immunology
303,Marketing
303,Oncology
303,Pipelines
303,Treatment
304,Marketing
305,Dashboard
305,Teradata
308,Analytics
308,Capital
308,Derivatives
308,Finance
308,Fostering
308,Investment Management
308,Management
308,Mathematics
308,Mindfulness
308,Python
308,Recruiting
308,Securities
308,Training
308,Wellness
309,LATAM
310,Flash
310,Marketing
310,Onboarding
311,Jeans
311,Modeling
311,Python
311,Saber
312,Python
312,Tempo
313,Access
313,Analytics
313,Business
313,English
313,Localization
313,Management
313,Research
313,Spanish
313,Workshops
313,Writing
315,Astute
315,Cloud Computing
315,Computer Science
315,Emerging Technologies
315,Engineering
315,Infrastructure
315,Kernel
315,Linux
315,Mirroring
315,Networking
315,Open Source
315,Open Source Software
315,Programming
315,Python
315,Reliability
315,Science
315,Security
315,Software
315,Software Development
315,Software Engineering
315,Sound
315,Technically Astute
315,Testing
315,Ubuntu
315,Virtualization
316,Analysis
316,Analytics
316,Business
316,Campaigns
316,Communication
316,Dynamics
316,Formulation
316,Leadership
316,Marketing
316,Market Research
316,Research
316,Sustainability
316,Tailoring
316,Training
317,Analytics
317,Artificial Intelligence
317,Data Science
317,Front-end
317,Latin
317,Latin America
317,Literacy
317,Procurement
317,Python
317,Relocation
317,Science
317,Social Listening
317,Strategy
317,Vendors
317,Artificial Intelligence
318,Analytics
318,Business
318,Pilates
319,Design Patterns
319,Saber
319,Software
320,Apache
320,Engineering
320,Features
320,Finance
320,Machine Learning
320,Software
321,Python
321,Software
322,Access
322,Balance
322,Clinical Development
322,Clinical Research
322,Clinical Trials
322,Coaching
322,Communication
322,English
322,Feasibilities
322,Geography
322,Healthcare
322,Immunology
322,Leadership
322,Management
322,Peer-to-peer
322,Pharmacovigilance
322,Physicians
322,Pipelines
322,Planning
322,Presentation Skills
322,Research
322,Science
322,Strategy
322,Therapeutic Area
322,Training
322,Treatment
322,Trials
322,Unbiased
322,Therapeutic Area
323,Kodak
323,Konica
323,Ricoh
326,Analytics
326,BizAgi
327,Academia
327,Judicial
327,LiDAR
328,Analytics
328,Data Science
328,Science
328,Software
329,Active Directory
329,E-commerce
330,Academia
330,Management
330,Office 365
330,Project Management
332,Python
333,Software
334,Architecture
334,Software
334,Architecture
335,Machine Learning
335,Python
335,Tempo
336,Analytics
336,Features
339,Marketing
339,Tempo
339,Trade Marketing
340,Engineering
340,Marketing
340,Scrum
340,Software
341,Databases
341,Flash
342,Capital
342,Valuation
343,Analytics
343,Know-how
343,Scrum
344,Capital
344,Coffee
344,Flavors
344,JavaScript
344,Node.js
344,Software
345,Front-end
345,Hardware
345,MySQL
345,Saber
345,Testing
346,E-commerce
346,JavaScript
346,Software
346,Tempo
347,Android
347,Swift
348,Ruby on Rails
348,Software
348,Tempo
348,Workshops
350,ElasticSearch
350,Hadoop
350,Pipelines
350,Scala
350,Scrum
350,Software
351,Big Data
351,Machine Learning
351,Open Source
351,Saber
351,Software
352,Big Data
352,Machine Learning
352,Open Source
352,Saber
352,Software
353,Software
354,Big Data
354,Data Science
354,Machine Learning
354,Pipelines
354,Python
354,Science
355,Software
355,Ticketing
355,Variant Configuration
356,Agility
356,ANVISA
356,Video
357,Administration
357,Analysis
357,Analytical Skills
357,Apparel
357,Business
357,Communication
357,Emotional Intelligence
357,English
357,Factory
357,History
357,Logistics
357,Management
357,Manufacturing
357,Materials
357,Networking
357,Packing
357,Planning
357,Readiness
357,Supply Chain
357,Supply Chain Management
358,Product Design
359,Product Design
360,Saber
361,Analytics
361,Business
361,Software
361,User Experience
362,Tempo
363,Marketing
364,Advertising
364,Machine Learning
364,Open Source
364,Saber
364,Software
364,Tempo
365,Kanban
366,Automation
366,Tableau
366,Visio
366,Windows
367,Software
368,Affirmative Action
368,Agile Environment
368,Business
368,Business Requirements
368,Cloud-based
368,Continuous Delivery
368,Distributed Systems
368,Engineering
368,Equal Employment Opportunity
368,Features
368,Infrastructure
368,Leadership
368,Management
368,Merchandising
368,Options
368,Planning
368,Policy
368,Programming
368,Program Management
368,Recruiting
368,Scrum
368,Software
368,Software Development
368,Usability
369,Affirmative Action
369,Agile Environment
369,Architecture
369,Business
369,Business Requirements
369,Continuous Delivery
369,Engineering
369,Equal Employment Opportunity
369,Features
369,Infrastructure
369,Leadership
369,Management
369,Mentoring
369,Merchandising
369,NoSQL
